2131459,135
1291841,152
3287562,177
2129039,151
1292064,117
3541415,144
1306029,131
1292720,129
1292722,151
3005875,155
1292343,136
1292223,156
5323968,117
2161696,154
1485260,136
1292370,155
1978709,152
3072086,173
1482072,135
1889243,195
1652587,152
1418834,131
1866479,169
1309046,157
1929463,180
25662329,198
3395373,149
3075287,175
1298624,137
3364223,156
1291832,114
6307447,158
6517421,157
3592853,146
1292052,99
3068206,171
1293544,136
1291843,159
3233635,158
1309199,152
2334904,135
3011091,154
1907966,157
1780330,138
1292224,135
1292656,158
11026735,150
1291578,155
3530403,154
1291548,158
3205624,152
1304447,139
4286017,158
1851857,136
4746257,157
26325320,195
1293839,154
1794171,157
2146991,158
3274505,172
1291552,156
1292274,138
1292062,154
1432146,156
1297192,136
6549903,159
3006772,155
1293182,156
1309163,155
4202982,158
3077791,157
1309101,137
1291870,155
1292262,152
1308779,134
25864085,195
3025375,191
2353023,152
25773932,191
1297630,137
1292849,136
1793491,155
3233761,158
1299327,154
2998270,152
3227410,155
1418192,157
1793929,159
2268359,156
11525673,173
6390823,155
5322596,161
1296339,152
2129132,175
3011308,154
1304102,158
10440138,173
21318488,192
1293088,153
1306612,134
3148748,155
1484091,153
5327268,195
2138838,150
2209575,175
3610047,176
1293013,156
1298128,150
1885124,135
1299131,115
10727641,173
25820460,177
6722879,174
2973079,156
3592854,191
11606328,154
1777612,155
1388216,158
1300300,149
3179706,159
1302827,132
1291571,155
1866471,148
4319218,172
1291577,133
10485647,157
3066739,157
1292217,129
1292523,152
2132473,157
23761370,155
1295250,154
10533913,195
2133323,138
6537500,157
6082518,138
2132495,156
10741834,176
4798888,139
2368641,156
2223596,156
3011102,155
1972729,175
4807924,161
4914468,167
1292270,136
1291572,153
25786060,195
2334814,158
1292659,139
3789848,158
1291579,155
1867345,155
1905462,156
2028645,157
1301445,155
1578507,135
1866473,176
3094909,157
6560058,157
7065154,177
3642835,156
2049435,158
1498818,153
