id,up,type,name,category,thread,post
99,95,forum,Unix/Linux,linux,9065,123155
95,0,group,科技交流,nan,0,0
74,203,forum,音乐空间,音乐,18508,220008
70,95,forum,程序员,编程,14050,151345
66,95,forum,电脑FAQ,电脑知识,16824,157300
61,201,forum,二手专区,二手交易,182208,1406733
55,203,forum,视觉艺术,视觉艺术,9409,194800
48,138,sub,星辰工作室,IT技术,303,3409
47,138,sub,版主交流,论坛事务,9302,276975
46,1,forum,站务综合,论坛事务,6634,85546
45,273,forum,情感专区,nan,16854,557858
44,309,sub,时政要闻,nan,35481,578534
42,55,sub,经典图吧,图片分享,8605,223355
41,203,forum,会心一笑,开心笑话,25513,488633
31,273,forum,成电百科,nan,0,0
30,203,forum,旅游专版,旅游,4515,67385
25,203,forum,水手之家,需要细分,539305,13126362
20,273,forum,学术交流,学术交流,21323,158669
17,273,forum,老乡会,nan,2672,45993
5,0,group,青春校园,nan,0,0
3,1,forum,回收站,nan,44644,730918
2,1,forum,站务公告,论坛活动,1242,10509
1,0,group,站务管理,nan,0,0
